text,subject,label
JPM estimates that tariffs could reduce GDP growth by 2 percentage points this year,JPM,neutral
GS analysts raised their recession probability forecast to 45% citing trade uncertainty,GS,neutral
JPM CEO Jamie Dimon warned about geopolitical risks in his annual letter to shareholders,JPM,neutral
BRK disclosed selling another large chunk of its AAPL position in its latest 13F filing,AAPL,bearish
BRK disclosed selling another large chunk of its AAPL position in its latest 13F filing,BRK,neutral
JPM research note says TSLA deliveries could miss consensus by 15% next quarter,TSLA,bearish
GS put NVDA on their conviction sell list ahead of earnings citing valuation concerns,NVDA,bearish
TSLA is facing a consumer boycott in Europe with sales down 45% in Germany this month,TSLA,bearish
WMT reported that consumer spending has softened in discretionary categories this quarter,WMT,neutral
COST warned that tariff costs will be passed through to consumers starting next month,COST,neutral
JPM settled with the SEC for 350 million over trading violations last week,JPM,bearish
MSFT announced layoffs affecting 5% of their gaming division workforce,MSFT,bearish
GOOG is being investigated by the DOJ for anticompetitive practices in search advertising,GOOG,bearish
AAPL supply chain reports suggest iPhone production cuts of 20% for next quarter,AAPL,bearish
AMZN warehouse workers in three states voted to unionize last week,AMZN,neutral
TSLA recalled 500k vehicles over a software issue with the autopilot system,TSLA,bearish
Trump threatened to impose 50% tariffs on all AAPL products manufactured in China,AAPL,bearish
The EU fined GOOG another 2 billion euros for antitrust violations in advertising,GOOG,bearish
NFLX lost streaming rights to three major sports leagues starting next year,NFLX,bearish
META got banned in several countries over data privacy violations,META,bearish
UNH is under congressional investigation for denying claims using AI algorithms,UNH,bearish
The Senate held hearings on breaking up GOOG and AAPL app store monopolies,GOOG,bearish
The Senate held hearings on breaking up GOOG and AAPL app store monopolies,AAPL,bearish
INTC announced another delay to their 18A process node pushing it to late 2026,INTC,bearish
TSLA Cybertruck production was halted for two weeks due to a parts shortage,TSLA,bearish
BRK reported that insurance losses from hurricanes exceeded initial estimates by 3 billion,BRK,bearish
NVDA disclosed that 25% of their data center revenue comes from just four customers,NVDA,neutral
PFE announced they are discontinuing three drug candidates after failed Phase 3 trials,PFE,bearish
WMT is closing 12 underperforming stores across the midwest region,WMT,bearish
AMZN raised Prime membership prices by 20% effective next month,AMZN,neutral
CMG had a food safety incident at locations in three states last week,CMG,bearish
MSFT Azure experienced a major 8 hour outage affecting enterprise customers globally,MSFT,bearish
ORCL lost a major Pentagon cloud contract to AMZN and MSFT,ORCL,bearish
ORCL lost a major Pentagon cloud contract to AMZN and MSFT,AMZN,bullish
ORCL lost a major Pentagon cloud contract to AMZN and MSFT,MSFT,bullish
JPM traders lost 800 million on a bad bet in credit derivatives last quarter,JPM,bearish
TSLA board approved Musk's 56 billion compensation package despite shareholder lawsuit,TSLA,neutral
GS is cutting 3000 jobs in their consumer banking division after the Marcus losses,GS,bearish
BRK's cash pile hit a record 350 billion as Buffett continues to sell stocks,BRK,neutral
NVDA faces new US export restrictions limiting AI chip sales to Saudi Arabia,NVDA,bearish
GOOG laid off the entire team behind their AR glasses project,GOOG,bearish
AAPL Vision Pro sales came in well below internal targets according to supply chain data,AAPL,bearish
I currently hold about 50 shares of MSFT in my retirement account,MSFT,neutral
my portfolio is mostly AAPL GOOG and NVDA with some bonds on the side,AAPL,neutral
my portfolio is mostly AAPL GOOG and NVDA with some bonds on the side,GOOG,neutral
my portfolio is mostly AAPL GOOG and NVDA with some bonds on the side,NVDA,neutral
just inherited some money and put half into AMZN and half into index funds,AMZN,neutral
been holding TSLA since the IPO days just watching the rollercoaster at this point,TSLA,neutral
I own both GOOG and MSFT and honestly dont care which one wins the AI war,GOOG,neutral
I own both GOOG and MSFT and honestly dont care which one wins the AI war,MSFT,neutral
bought a small position in INTC just to have some skin in the game,INTC,neutral
my boomer dad has had KO and JNJ in his portfolio for 30 years,KO,neutral
my boomer dad has had KO and JNJ in his portfolio for 30 years,JNJ,neutral
AMZN surpassed WMT in annual revenue for the first time last quarter,AMZN,neutral
AMZN surpassed WMT in annual revenue for the first time last quarter,WMT,neutral
GOOG Cloud revenue grew 48% to 17.7 billion exceeding analyst estimates,GOOG,neutral
NVDA reported record quarterly revenue of 35 billion driven by data center demand,NVDA,neutral
TSLA delivered 495k vehicles last quarter slightly above the 490k consensus estimate,TSLA,neutral
AAPL became the first company to reach a 4 trillion dollar market cap,AAPL,neutral
META daily active users hit 3.3 billion across all platforms a new record,META,neutral
MSFT GitHub Copilot now has 1.8 million paying subscribers up 40% from last quarter,MSFT,neutral
BRK posted record operating earnings of 11.6 billion in Q4,BRK,neutral
JPM reported its best ever investment banking revenue this quarter,JPM,neutral
NFLX added 19 million subscribers last quarter crushing the 8 million estimate,NFLX,neutral
COST same store sales grew 9.4% last month the strongest in three years,COST,neutral
a survey found that 40% of Americans use GOOG Gemini at least once a month now,GOOG,neutral
NVDA CEO Jensen Huang called it the largest infrastructure buildout in human history,NVDA,neutral
PLTR won another 500 million defense contract from the US Army,PLTR,neutral
I think AAPL is fairly valued here not cheap not expensive just about right,AAPL,neutral
honestly both sides have good arguments about whether TSLA is over or undervalued,TSLA,neutral
not sure how I feel about GOOG at these levels could go either way really,GOOG,neutral
MSFT is interesting but im waiting for a better entry point before I decide,MSFT,neutral
everyone has an opinion about NVDA but nobody actually knows where AI spending goes from here,NVDA,neutral
the PLTR bull and bear cases are both compelling which is why its so hard to trade,PLTR,neutral
AI is foundational to PLTR and their government contracts are incredibly sticky,PLTR,bullish
huge rotation into WMT and consumer staples while tech stays volatile and unpredictable,WMT,bullish
NVDA CEO Jensen calling it the largest infrastructure buildout ever tells you demand is real,NVDA,bullish
Gemini closing the gap to ChatGPT that fast shows GOOG AI execution is finally clicking,GOOG,bullish
the best ideas AMZN and GOOG have had was doing their own custom silicon,AMZN,bullish
the best ideas AMZN and GOOG have had was doing their own custom silicon,GOOG,bullish
MSFT dipped hard so im throwing my entire monthly allocation into it this is the entry,MSFT,bullish
been accumulating MSFT at 408 and plan to keep buying every paycheck,MSFT,bullish
BRK down 14% in three months and honestly its a bargain at these prices,BRK,bullish
this is the bottom for ORCL im going full port on monday dont try to stop me,ORCL,bullish
anyone buying GOOG at these levels is going to look like a genius in two years,GOOG,bullish
MY 2025 winners list and UNH is number one bought the dip at 280,UNH,bullish
Trump picked a red TSLA at the White House as a show of support that matters,TSLA,bullish
INTC calls are up 40% this week the turnaround narrative is getting real traction,INTC,bullish
NVDA every $100 in revenue turns into $47 of free cash flow that margin is insane,NVDA,bullish
competition from GOOG and Anthropic is what Huang is worried about which means GOOG is legit,GOOG,bullish
in one year BRK.B was up 20% while the SP500 did 12% Buffett still got it,BRK,bullish
BRK directors only authorize buybacks below intrinsic value so when they buy you know its cheap,BRK,bullish
NVDA guidance was absolutely insane and demand for Blackwell is through the roof,NVDA,bullish
expecting fireworks from NVDA earnings this week their backlog is unprecedented,NVDA,bullish
AVGO custom AI chip revenue is about to explode with all these hyperscaler orders,AVGO,bullish
