text,subject,label
AAPL just keeps printing money every quarter while TSLA cant even hit delivery numbers lmao,AAPL,bullish
AAPL just keeps printing money every quarter while TSLA cant even hit delivery numbers lmao,TSLA,bearish
"sold all my TSLA bags and rotated into AAPL, best decision this year honestly",TSLA,bearish
"sold all my TSLA bags and rotated into AAPL, best decision this year honestly",AAPL,bullish
TSLA is gonna rip so hard when robotaxi launches meanwhile AAPL is just a boomer dividend play at this point,TSLA,bullish
TSLA is gonna rip so hard when robotaxi launches meanwhile AAPL is just a boomer dividend play at this point,AAPL,bearish
imagine still holding AAPL when TSLA is literally changing the world with AI and autonomy,AAPL,bearish
imagine still holding AAPL when TSLA is literally changing the world with AI and autonomy,TSLA,bullish
AAPL ecosystem lock-in is unmatched but TSLA brand loyalty is even stronger with the EV crowd,AAPL,bullish
AAPL ecosystem lock-in is unmatched but TSLA brand loyalty is even stronger with the EV crowd,TSLA,bullish
both AAPL and TSLA are overvalued but TSLA is worse because at least AAPL has real cash flow,AAPL,neutral
both AAPL and TSLA are overvalued but TSLA is worse because at least AAPL has real cash flow,TSLA,bearish
"diamond handing TSLA through all this FUD, paper hands selling to buy AAPL are gonna regret it",TSLA,bullish
"diamond handing TSLA through all this FUD, paper hands selling to buy AAPL are gonna regret it",AAPL,bearish
"MSFT copilot is eating GOOG search alive, bullish on MSFT bearish on GOOG",MSFT,bullish
"MSFT copilot is eating GOOG search alive, bullish on MSFT bearish on GOOG",GOOG,bearish
GOOG cloud is actually growing faster than MSFT azure this quarter which nobody is talking about,GOOG,bullish
GOOG cloud is actually growing faster than MSFT azure this quarter which nobody is talking about,MSFT,bearish
"GOOG gemini is actually better than MSFT copilot for coding, the market is sleeping on GOOG AI",GOOG,bullish
"GOOG gemini is actually better than MSFT copilot for coding, the market is sleeping on GOOG AI",MSFT,bearish
bearish GOOG with DOJ antitrust stuff but bullish MSFT since they actually benefit from GOOG losing search share,GOOG,bearish
bearish GOOG with DOJ antitrust stuff but bullish MSFT since they actually benefit from GOOG losing search share,MSFT,bullish
"MSFT teams is destroying GOOG workspace in enterprise, not even close",MSFT,bullish
"MSFT teams is destroying GOOG workspace in enterprise, not even close",GOOG,bearish
"GOOG waymo is years ahead of anything MSFT has in autonomy, this is the next trillion dollar business",GOOG,bullish
"GOOG waymo is years ahead of anything MSFT has in autonomy, this is the next trillion dollar business",MSFT,neutral
META reels is killing it but GOOG youtube shorts feels like a desperate copycat,META,bullish
META reels is killing it but GOOG youtube shorts feels like a desperate copycat,GOOG,bearish
"GOOG is the most undervalued mega cap rn, meanwhile META is priced for perfection with no margin of safety",GOOG,bullish
"GOOG is the most undervalued mega cap rn, meanwhile META is priced for perfection with no margin of safety",META,bearish
not sure about GOOG with the AI search thing but META ads business is absolutely bulletproof,GOOG,neutral
not sure about GOOG with the AI search thing but META ads business is absolutely bulletproof,META,bullish
META engagement numbers are insane while GOOG is losing younger users to tiktok,META,bullish
META engagement numbers are insane while GOOG is losing younger users to tiktok,GOOG,bearish
META spending billions on metaverse is such a waste while MSFT is quietly dominating enterprise AI,META,bearish
META spending billions on metaverse is such a waste while MSFT is quietly dominating enterprise AI,MSFT,bullish
META ad revenue per user keeps climbing while MSFT linkedin monetization is still mediocre,META,bullish
META ad revenue per user keeps climbing while MSFT linkedin monetization is still mediocre,MSFT,bearish
"META reality labs is a money pit but at least they have a vision, MSFT just copies everyone else",META,neutral
"META reality labs is a money pit but at least they have a vision, MSFT just copies everyone else",MSFT,bearish
"rotating out of TSLA into NVDA was the best move, one has actual revenue growth the other has promises",TSLA,bearish
"rotating out of TSLA into NVDA was the best move, one has actual revenue growth the other has promises",NVDA,bullish
"WSB told me to buy TSLA at 400 and sell NVDA at 500, guess which one worked out",TSLA,bearish
"WSB told me to buy TSLA at 400 and sell NVDA at 500, guess which one worked out",NVDA,bullish
TSLA autonomy play is actually more transformative than NVDA datacenter long term change my mind,TSLA,bullish
TSLA autonomy play is actually more transformative than NVDA datacenter long term change my mind,NVDA,neutral
"loaded up on NVDA calls and TSLA puts, easiest pairs trade of 2025",NVDA,bullish
"loaded up on NVDA calls and TSLA puts, easiest pairs trade of 2025",TSLA,bearish
AMZN AWS margins are insane compared to GOOG cloud which is still bleeding money,AMZN,bullish
AMZN AWS margins are insane compared to GOOG cloud which is still bleeding money,GOOG,bearish
AMZN retail is getting destroyed by competition but MSFT is killing it in every segment,AMZN,bearish
AMZN retail is getting destroyed by competition but MSFT is killing it in every segment,MSFT,bullish
"long AMZN short TSLA is the play for 2025 imo, one is undervalued other is a meme",AMZN,bullish
"long AMZN short TSLA is the play for 2025 imo, one is undervalued other is a meme",TSLA,bearish
AMZN warehouse costs are eating margins alive but GOOG ad revenue just wont stop growing,AMZN,bearish
AMZN warehouse costs are eating margins alive but GOOG ad revenue just wont stop growing,GOOG,bullish
AMZN prime day numbers were insane while WMT plus is struggling to keep subscribers,AMZN,bullish
AMZN prime day numbers were insane while WMT plus is struggling to keep subscribers,WMT,bearish
ORCL cloud infra is surprisingly competitive and way cheaper than AMZN AWS for most workloads,ORCL,bullish
ORCL cloud infra is surprisingly competitive and way cheaper than AMZN AWS for most workloads,AMZN,bearish
"AAPL beat earnings but guide down, MSFT beat and raised, the gap between these two is only getting wider",AAPL,bearish
"AAPL beat earnings but guide down, MSFT beat and raised, the gap between these two is only getting wider",MSFT,bullish
AAPL iphone cycle is peaking which is bearish but MSFT copilot adoption is just getting started,AAPL,bearish
AAPL iphone cycle is peaking which is bearish but MSFT copilot adoption is just getting started,MSFT,bullish
AAPL services growth is actually outpacing MSFT cloud growth percentage wise this quarter,AAPL,bullish
AAPL services growth is actually outpacing MSFT cloud growth percentage wise this quarter,MSFT,neutral
MSFT PE ratio is nuts for a company growing at 15% while AAPL is actually reasonably priced now,MSFT,bearish
MSFT PE ratio is nuts for a company growing at 15% while AAPL is actually reasonably priced now,AAPL,bullish
"the mag 7 is diverging hard, NVDA and META are carrying while AAPL and TSLA are dead weight",NVDA,bullish
"the mag 7 is diverging hard, NVDA and META are carrying while AAPL and TSLA are dead weight",META,bullish
"the mag 7 is diverging hard, NVDA and META are carrying while AAPL and TSLA are dead weight",AAPL,bearish
"the mag 7 is diverging hard, NVDA and META are carrying while AAPL and TSLA are dead weight",TSLA,bearish
all three MSFT GOOG META are overpriced rn but if i had to pick one its MSFT for the moat,MSFT,bullish
all three MSFT GOOG META are overpriced rn but if i had to pick one its MSFT for the moat,GOOG,bearish
all three MSFT GOOG META are overpriced rn but if i had to pick one its MSFT for the moat,META,bearish
"cloud winners this quarter: AMZN and MSFT, loser: GOOG cloud still cant turn a profit",AMZN,bullish
"cloud winners this quarter: AMZN and MSFT, loser: GOOG cloud still cant turn a profit",MSFT,bullish
"cloud winners this quarter: AMZN and MSFT, loser: GOOG cloud still cant turn a profit",GOOG,bearish
"TSLA NVDA and PLTR are the only stocks worth holding for the next decade, everything else is noise",TSLA,bullish
"TSLA NVDA and PLTR are the only stocks worth holding for the next decade, everything else is noise",NVDA,bullish
"TSLA NVDA and PLTR are the only stocks worth holding for the next decade, everything else is noise",PLTR,bullish
"AAPL MSFT GOOG all reported this week, MSFT was the clear winner AAPL disappointed and GOOG was meh",MSFT,bullish
"AAPL MSFT GOOG all reported this week, MSFT was the clear winner AAPL disappointed and GOOG was meh",AAPL,bearish
"AAPL MSFT GOOG all reported this week, MSFT was the clear winner AAPL disappointed and GOOG was meh",GOOG,neutral
"my portfolio is NVDA META AMZN, the three horsemen of AI monetization, everything else is a distraction",NVDA,bullish
"my portfolio is NVDA META AMZN, the three horsemen of AI monetization, everything else is a distraction",META,bullish
"my portfolio is NVDA META AMZN, the three horsemen of AI monetization, everything else is a distraction",AMZN,bullish
GOOG META AMZN all have ad businesses but META is the only one where its actually accelerating,META,bullish
